PMY,BMY
15690.05226,4082.397881
16007.19989,4164.916588
16736.83402,4354.760239
17400.31465,4527.3914
17612.39497,4582.572621
17515.11042,4557.260134
17684.38554,4601.303861
17880.90033,4652.435085
18030.71854,4691.416314
18087.14358,4706.097557
17880.90033,4652.435085
18731.1673,4873.66622
20875.31879,5431.55343
20776.08854,5405.734694
20534.82286,5342.959726
20132.06482,5238.166031
19493.87817,5072.116117
18801.21217,4891.89121
18287.54975,4758.24128
17489.81644,4550.678887
16974.20832,4416.522707
16839.95564,4381.591475
16777.69353,4365.391484
17361.40083,4517.266405
18365.37739,4778.491269
20515.36595,5337.897229
21676.94348,5640.128322
22673.13727,5899.328187
22719.83386,5911.478181
22694.53987,5904.896934
23186.7997,6032.978118
23496.16457,6113.471826
23612.90603,6143.84681
23128.42897,6017.790626
21721.69437,5651.772066
21587.44169,5616.840834
23278.24718,6056.771856
22914.40296,5962.103155
22435.76297,5837.565719
21776.17372,5665.947058
21141.87845,5500.909644
20348.03652,5294.359751
19441.34452,5058.447374
18779.80957,4886.322463
18143.56862,4720.778799
18192.21089,4733.435043
18305.06097,4762.797527
18793.42941,4889.866211
19326.54875,5028.578639
21727.53145,5653.290815
23266.57303,6053.734357
24163.53658,6287.115486
24369.77983,6340.777958
24128.51414,6278.002991
24607.15413,6402.540426
24786.1577,6449.115402
25015.74924,6508.852871
24340.59446,6333.184212
22655.62605,5894.77194
22478.56817,5848.703214
24480.68422,6369.634193
24453.44454,6362.546697
23657.65692,6155.490554
23317.161,6066.89685
22509.69923,5856.803209
21274.18544,5535.334626
20439.484,5318.153489
19832.42841,5160.203571
19165.05639,4986.559911
18956.86746,4932.391189
18947.139,4929.859941
19441.34452,5058.447374
19847.99394,5164.253569
22398.79484,5827.946974
23846.38895,6204.596779
24828.96291,6460.252896
24998.23802,6504.296623
24194.66764,6295.215482
24402.85658,6349.384204
25523.5746,6640.984052
25760.9489,6702.74652
25107.19672,6532.646608
23367.74896,6080.059343
23134.26604,6019.309375
25006.02079,6506.321622
24634.39381,6409.627922
23690.73367,6164.0968
23175.12555,6029.940619
22706.21402,5907.934433
21776.17372,5665.947058
21011.51716,5466.990912
20396.6788,5307.015995
19698.17573,5125.272339
19468.58419,5065.53487
19598.94549,5099.453603
19287.63493,5018.453645
18980.21575,4938.466186
20484.23489,5329.797233
21597.17015,5619.372083
22556.39581,5868.953203
22523.31907,5860.346958
22056.35323,5738.847021
22371.55517,5820.859478
22344.31549,5813.771982
22303.45598,5803.140737
21818.97892,5677.084553
21501.83129,5594.565846
21503.77698,5595.072095
23525.34993,6121.065572
23196.52815,6035.509367
22885.21759,5954.509409
22188.66021,5773.272003
21396.76397,5567.22836
20369.43912,5299.928498
19787.67751,5148.559827
18818.72339,4896.447458
18536.5982,4823.041246
18314.78942,4765.328776
18077.41512,4703.566308
18192.21089,4733.435043
17213.52832,4478.791425
18077.41512,4703.566308
19007.45542,4945.553682
19853.83101,5165.772318
20200.16401,5255.884771
20017.26905,5208.297296
20295.50287,5280.691008
20381.11327,5302.965997
20540.65993,5344.478475
20227.40368,5262.972268
19733.19817,5134.384834
20505.63749,5335.36598
22787.93304,5929.196922
22931.91418,5966.659402
22579.74411,5875.0282
22330.69566,5810.228234
21297.53373,5541.409623
20250.75197,5269.047265
19390.75655,5045.284881
18602.75169,4840.253737
18036.55561,4692.935064
18102.7091,4710.147555
18558.0008,4828.609993
19365.46257,5038.703634
20291.61148,5279.678509
23770.507,6184.853039
25564.43411,6651.615297
27052.88772,7038.896346
26994.51699,7023.708854
26124.79312,6797.415221
27058.7248,7040.415095
27634.64933,7190.265017
27743.60803,7218.615002
26883.61261,6994.852619
24790.04909,6450.127901
24482.62991,6370.140443
25978.86629,6759.446491
25694.7954,6685.534029
24922.35607,6484.552883
24231.63577,6304.834227
22945.53401,5970.20315
21996.0368,5723.153279
21169.11813,5507.99714
